unixtime;Bx;By;Bz
1615395152.0356636;1531;3797;8080
1615395152.064213;1462;4027;8148
1615395152.093979;1381;4247;8153
1615395152.104477;1355;4307;8165
1615395152.1350226;1260;4505;8143
1615395152.1435516;1220;4570;8132
1615395152.173547;1122;4755;8061
1615395152.1845164;1080;4810;8037
1615395152.2131808;991;4962;7947
1615395152.2229893;935;5020;7906
1615395152.2340195;906;5072;7857
1615395152.2428617;870;5117;7832
1615395152.272568;735;5247;7675
1615395152.283605;701;5297;7615
1615395152.2923968;663;5340;7548
1615395152.3023314;637;5375;7488
1615395152.3123705;582;5407;7430
1615395152.3421307;440;5512;7216
1615395152.3521748;397;5550;7143
1615395152.3620849;347;5582;7075
1615395152.372032;305;5612;6977
1615395152.3829138;238;5632;6887
1615395152.4118795;100;5707;6626
1615395152.4213946;43;5712;6527
1615395152.4325497;-12;5735;6418
1615395152.441274;-57;5767;6323
1615395152.4511604;-100;5772;6217
1615395152.4614933;-165;5785;6113
1615395152.471262;-210;5797;6015
1615395152.4824977;-276;5795;5878
1615395152.4912918;-318;5802;5786
1615395152.520975;-482;5815;5413
1615395152.5338285;-552;5800;5271
1615395152.5610082;-713;5787;4871
1615395152.5704114;-768;5775;4723
1615395152.581515;-837;5770;4598
1615395152.5906994;-882;5760;4478
1615395152.6004808;-946;5752;4331
1615395152.631722;-1117;5677;3865
1615395152.6404965;-1172;5660;3718
1615395152.6705477;-1341;5562;3247
1615395152.6814983;-1400;5527;3056
1615395152.7102582;-1576;5427;2571
1615395152.7198396;-1612;5377;2402
1615395152.7309606;-1671;5332;2201
1615395152.7490726;-1761;5245;1882
1615395152.7592242;-1816;5197;1700
1615395152.769043;-1861;5150;1506
1615395152.7992496;-2021;4972;952
1615395152.8093069;-2075;4915;760
1615395152.8189325;-2113;4847;561
1615395152.8487883;-2258;4660;0
1615395152.869072;-2341;4507;-405
1615395152.8797343;-2391;4430;-607
1615395152.9085352;-2472;4222;-1173
1615395152.9187698;-2515;4132;-1370
1615395152.9294395;-2567;4040;-1596
1615395152.9484146;-2636;3892;-1952
1615395152.9584634;-2660;3792;-2162
1615395152.967732;-2696;3730;-2363
1615395152.9981964;-2788;3447;-2955
1615395153.0082421;-2812;3352;-3160
1615395153.0174894;-2845;3260;-3363
1615395153.0287063;-2865;3167;-3566
1615395153.037825;-2886;3097;-3732
1615395153.0678473;-2952;2810;-4320
1615395153.0788703;-2968;2702;-4538
1615395153.1078134;-3018;2430;-5102
1615395153.1372335;-3060;2127;-5642
1615395153.167285;-3087;1840;-6183
1615395153.1785257;-3100;1727;-6400
1615395153.2067955;-3128;1450;-6897
1615395153.2165284;-3131;1347;-7077
1615395153.227688;-3126;1235;-7252
1615395153.2461689;-3140;1050;-7548
1615395153.2559931;-3142;942;-7718
1615395153.265929;-3150;840;-7895
1615395153.2957542;-3140;577;-8366
1615395153.3065429;-3135;475;-8505
1615395153.3155644;-3137;395;-8661
1615395153.3452451;-3126;92;-9086
1615395153.354939;-3123;0;-9222
1615395153.3766234;-3105;-187;-9513
1615395153.3855863;-3102;-265;-9615
1615395153.4155204;-3073;-527;-9990
1615395153.4265068;-3068;-620;-10130
1615395153.455437;-3031;-860;-10458
1615395153.484938;-2986;-1105;-10756
1615395153.5152893;-2945;-1345;-11042
1615395153.5263054;-2945;-1422;-11137
1615395153.5442438;-2910;-1557;-11287
1615395153.5544906;-2895;-1645;-11363
1615395153.5643895;-2876;-1707;-11442
1615395153.5756967;-2868;-1782;-11513
1615395153.5940654;-2823;-1907;-11631
1615395153.6043932;-2812;-1980;-11696
1615395153.6140714;-2788;-2035;-11737
1615395153.6251445;-2773;-2110;-11786
1615395153.6437545;-2726;-2232;-11862
1615395153.654064;-2715;-2295;-11892
1615395153.6638904;-2700;-2350;-11941
1615395153.6747768;-2686;-2407;-11966
1615395153.6931725;-2633;-2505;-12006
1615395153.7034886;-2617;-2545;-12017
1615395153.7135556;-2593;-2595;-12031
1615395153.724645;-2577;-2647;-12031
1615395153.7428787;-2536;-2732;-12028
1615395153.753186;-2510;-2767;-12020
1615395153.763173;-2503;-2817;-12003
1615395153.774074;-2472;-2855;-11990
1615395153.7928772;-2422;-2930;-11941
1615395153.8029678;-2393;-2960;-11913
1615395153.8127375;-2377;-2997;-11883
1615395153.824103;-2358;-3022;-11832
1615395153.8427289;-2293;-3070;-11733
1615395153.8522196;-2280;-3100;-11701
1615395153.8623452;-2253;-3107;-11631
1615395153.8734837;-2232;-3150;-11571
1615395153.892123;-2193;-3187;-11445
1615395153.9023235;-2172;-3197;-11382
1615395153.9124284;-2142;-3205;-11308
1615395153.923042;-2111;-3220;-11213
1615395153.9416995;-2077;-3245;-11047
1615395153.9519007;-2047;-3242;-10957
